书名,作者,类型,进度,字数,积分,标签,时间,简介
幼崽她只想当妈宝,淅小城,原创-百合-近代现代-爱情,连载,106884,16918458,"['穿越时空', '系统', '快穿', '轻松', '萌娃']",2024-12-02,本文简介：仰鲸因为一场意外，被迫绑定了傻白甜系统。刚出生的系统看着面前出生三年的幼崽，发出一声尖锐的爆鸣。系统：宿主你听我说，我们的任务是感化反派，保护女主。字都认不全的仰鲸表示没问题，她把结合了反派和女主的基因试管，随手放入新捏的身体里，直接成为了反派和女主的亲女儿。系统：啊？？？仰潜云作为女主，很有自己的一套行事准则，在她第n+1次把男主送走后，世界意识屈服了，遂决定找个系统来救祂。世界意识：已老实，求放过。商雅风是个好人，但她是个反派。原因很简单，男主的崛起之路怎么都绕不过她，所以她就成了终极反派。反派本人：？？？——第一个世界：养娃不易，总裁叹气。商雅风是帝国商界一颗冉冉上升的新星，身为大孝女的她亲手将自己偷税漏税的父亲送去牢改，每月给孤独寂寞的母亲打去高额零花钱。她高贵冷艳，杀伐果断，一心放在集团事业上，这天日常下去巡视集团的她被一个和自己长得九分相似的三岁小孩抱了小腿。商雅风冷笑，不就是她同母异父的妹妹吗？她这辈子什么场面没见过？等到亲子鉴定结果出来后，泰山崩于前而面不改色的商总裂了：“她是，我女儿？”面对柔弱了大半辈子如今竟敢厉声质问她的母亲，商雅风头疼不已：“我不是！众所周知，我的爱人只有工作！”集团年会上，冷艳总裁抱着粉雕玉琢的小女孩上台发言，台下腆着脸想要谋求合作的集团老总们端着酒杯前来套近乎，笑道：“商总，这是您妹妹？”商总：“酒拿远点，我女儿。”老总们：“？？？”换了橙汁不信邪的集团老总们重整旗鼓，看着坐在商总旁边柔情似水的仰潜云，笑道：“这位就是商总今年新招的生活助理吧？”商总：“我新过门的妻子。”端着橙汁的老总们：“啊？？？”第二个世界：女儿叛逆，公主叹气。长公主仰潜云以女子之身稳固朝堂，一手扶持自己的同胞弟弟登上帝位，不想幼帝心狠手辣，为了夺权竟然对自己的亲姐姐痛下杀手。他前脚把长公主囚禁，后脚远在边关的大将军就率兵杀到了京城。幼帝气急败坏，不解到底是何处走漏了风声。直到，他在杀进皇宫的大将军身边看见了一个与长公主有九分相似的三岁小将军。仰鲸：没错！走漏风声的就是我！……第三个世界：拜金影后与投资商第四个世界：正道掌门与假魔尊第五个世界：人类之光与丧尸王第六个世界：厨师摊主与农场主第七个世界：副本女鬼与榜首第八个世界：学者与海归第九个世界：西幻公爵与亡灵法师*养崽（划重点），35×25年龄差十岁*文中涉及的相关内容均为剧情设定，请勿带入现实，最终解释权归作者所有*请读者朋友们使用文明用语，互相尊重，比心
炮灰洗白手册［快穿］,小捡,原创-纯爱-近代现代-爱情,连载,87111,13503147,"['打脸', '系统', '快穿', '爽文', '逆袭', '万人迷']",2024-12-03,【阅前需知在文案最底下】徐静成是个社畜上班族，遭遇意外后再一睁眼，脑子里多出一个自称炮灰拯救计划的系统。-面对意识里出现的机械音，徐静成缓缓问：“你的意思是，我只要去各个世界攒够任务积分，就可以回到死亡之前？”系统：【是的】面对似乎不是每个人都能获得的机会，徐静成保持谨慎：“我具体要做什么？”系统：【扮演炮灰角色，摆脱炮灰悲催的命运轨迹。】听起来有点麻烦，徐静成思索一番问：“如果我不答应呢？”系统：【会重新死回去哦。】于是徐静成答应了。-世界一①万人嫌假beta你是一个伪装成beta的alpha，性格沉默孤僻，从小作为孤儿靠资助生活。一次偶然事件，你喜欢上同班alpha同学，成为众所周知的舔狗变态跟踪狂。最终因盗窃私人物品被校方劝退，同时失去资助资格。你无法承受打击，选择自暴自弃，流落街头。【本世界任务为：摆脱流落街头结局。】-世界二②懦弱末等生你是一个进入西方魔法学院的末等生。你的性格懦弱无趣，家族背景和魔法能力相当平庸。本以为进入这所寄宿制学院后会获得更好的生活，结果却是成为贵族们的玩物，每天生活在水深火热中，最后在精神崩溃下选择自杀。【本世界任务为：摆脱崩溃自杀结局。】-世界三③可悲富少爷你是一个养尊处优的富家少爷，性格高傲自大。一朝末世来临，世界天翻地覆，你失去钱和地位以及一切，只能作为普通人艰难生活，被迫成为苟延残喘、趋炎附势的墙头草。后来身体不好遭到朋友嫌弃、爱人抛弃，最终你被独自一人遗留在丧尸潮里，死无全尸。【本世界任务为：摆脱死无全尸结局。】-世界四④人渣独生子你是一个游牧民族家庭的独生子，性格自私刻薄，整天好吃懒做。你的家里破烂不堪，父母双双残疾，面对生活重担和外人谴责，却是一直无动于衷。直到草原遇到暴雪，家里房屋被雪压垮，养的家畜染病死光，父母病情加重。最终你一无所有，家破人亡。【本世界任务为：摆脱家破人亡结局。】-其余世界待定中-扮演炮灰以后，徐静成总觉得不对劲。他奇怪地问系统：“怎么和刚开始说的不太一样？”系统：【有吗？】徐静成看着抽屉里塞满的情书，又想到不久前跟他表白的陌生同学，和兼职时总是摸他手的客人，陷入沉思：“为什么很多人喜欢我？我做过让他们误会的事情？”“万人嫌炮灰是这么受欢迎的吗？”系统：【……】其实真的很想说。你照照镜子就知道原因了。-【阅前需知】①苍白阴郁很会吸引人的帅受x无论如何都会倒贴的切片攻②受在关系中处于主导位③攻全洁、每个世界不止一个切片、受只会和其中一个切片在一起［也许会写其他切片的he番外］④世界结局存在he和be，可能会出现炮灰攻、攻死、受死遁、雄竞、修罗场等情节。⑤受在每个世界是万人嫌身份开局，会遭遇不公平对待和异样眼光，根据剧情推进逆转。⑥不建议任何控度深的读者观看，作者口味偏好复杂，不端水不配平不写副cp，自认为不控任何只写自己喜欢的，对于控度有要求的读者看此文一定会踩雷，请谨慎选择观看。⑦初版文案2024.11.25已备忘录截图
养的纸片人竟是死对头,竹取白,原创-纯爱-近代现代-爱情,连载,81863,8426130,"['年下', '幻想空间', '欢喜冤家', '破镜重圆', '青梅竹马', '交换人生']",2024-12-02,【重爱偏执公主攻x活人微死酷哥受】【破镜重圆酸甜口/开头即已破/相爱相杀双向救赎】【双洁he/已有10万+存稿，请放心入坑】季不寄的死对头死于一场车祸。当晚，季不寄的手机上出现了一款堪比流氓软件的公主养成游戏。他同游戏里金发公主的感情愈发深厚，殊不知一切皆为死对头时恩赐精心设下的陷阱。白天，季不寄试图给自家小人穿女装。午夜梦回，时恩赐如潜伏在暗处的魅魔压在他的身上，缓缓贴近，华丽的金发压过了窗外月色。他的唇边勾勒出一抹蛊惑的笑容，状似亲昵地耳语着。“你以为死掉后我就会放过你吗？”季不寄冲着他手上的女装攥了攥拳头：“时恩赐，你现在的当务之急是去地府投胎。”——鲜少有人知道，他曾与患有严重公主病的时恩赐为亲密竹马。直至四年前他拉黑时恩赐，两人从此成为水火不容的死对头。四年间对方年少暗恋求之不得的执念疯长，季不寄错将暗恋认作恨意，从未知晓其深入骨髓的爱意早已病态。直至再度重逢，时恩赐玉质金相的好皮囊沾染一身鬼气，策划出天罗地网引季不寄上套。某日，沉迷于养成游戏的季不寄忽然发现，自家公主总是抱着一部手机按来按去的。为什么不理他了呢？手机有什么好玩的？后来他才知道，小人一直玩的那款游戏是关于他的。季不寄的人生从此失去了控制。游戏、游戏，究竟谁是谁的游戏？兜兜转转，原来他才是被游戏的那个人。【加粗】攻患有深度病理性迷恋与依恋障碍，执念导致其死后成了一串代码精（很长一串）【加红】攻受灵魂伴侣，最终双向奔赴
八个前夫还爱我,天地徜徉,原创-纯爱-近代现代-爱情,连载,32754,7140043,"['逆袭', 'ABO', '美强惨', '万人迷', '追爱火葬场', '综艺']",2024-12-13,【开篇火葬场，狗血文，受不原谅只报复，微量悬疑】刑少奇息影三年，再度复出，已感觉时代变了。他退圈时，市面上最流行的综艺是相亲。他回归时，制作人开口就是复婚。“恋爱，相亲，结婚，离婚，各种题材都被做烂了。”“我们必须另辟蹊径，比如——复婚综艺。”“参加这档综艺的嘉宾必须有讨论度，有知名度，有风流情史，他的前任们也得是话题不断，最重要的是——“所有前任，都想要和他复合。”刑少奇，omega，娱乐圈的三金影帝，被网友戏称为八离世家。前任1号，歌手出身，直性子的暴躁顶流。却在直播提起刑少奇时，眼圈泛红。前任2号，名流巨星，著名视帝。温润儒雅的男人却在发布会时死死不肯松口：“我们没离婚，都是谣传。”前任x号，驰名霸总，身价过千亿，离婚前夕，在刑宅门口跪了一夜。更有联姻夫夫为他反目，一代名导浪子回头，还有……八个前任，八段让网友深扒不已的爱情故事，令刑少奇成为了节目组最适合的人选。刑少奇拿着合同，看向制作人。“复婚吧，我的爱人？”他勾唇笑了一下，“选我做嘉宾，让我重新选他们中的一个？那不如改名叫——”“再爱贱人。”*刑少奇参加复婚综艺，在网上引起了轩然大波。这是一档国内首出的题材，由刑少奇作为主嘉宾，8个前任作为飞行嘉宾登场。每个前任占据三期节目时间，他们将与刑少奇一起走进过往回忆，带着观众一起窥探爱的余烬。至于结局是爱火重燃，还是爱意消弭？节目的最后一期，将揭晓答案。节目开播前，一段刑少奇的音频爆红网络。“可以参加节目，但我不能保证自己说的话、做的事可以放出，如果他们愿意，我可以签字。”“另外，我必须提前说明。”“观看综艺之后，如果对这些人的声誉造成影响，我概不负责。”制作人干巴巴的声音响起：“一般来说…爱情是双方的过错……”刑影帝嗤笑：“谈情说爱？他们也配？”“当初把我当狗玩的一群垃圾，如今还上赶着做狗了。”观前须知：1.全员恶人，但烂人真心。火葬场是真的，反悔是真的，但做错事也是真的2.有正宫，结局1v1，受成长型3.狗血文，泼天狗血4.有两攻联姻情节，攻攻无暧昧！！有（类）情人转情敌，情敌变情人5.微悬疑请注意6.受b变o，有a攻b攻o攻7.待补充
昨日如梦,柔韧的利器,原创-纯爱-近代现代-爱情,连载,111845,6331932,"['情有独钟', '天之骄子', '穿越时空', '七年之痒', '励志', '校园']",2024-12-02,"天才冷感阴湿攻×偏执恋爱脑受遇见宋屿川之前，我的人生是一条精确计算的直线：凭借物理奥赛金牌进入少年班；提前完成本科，进入哈佛攻读理论物理博士；被美国最负盛名的研究所录取。一直以来，我的人生清晰而可控，理性是我所遵从的唯一信仰。直到有一天，我收到了一条短信：【你好，我是你的高中校友。听说你也在波士顿，有空一起吃顿饭吗？】我跟他第一次见面他就说爱我，并且这份爱已存在了很多很多年。我：“究竟是多少年？”宋屿川：“是我的半生那么长了。”我感到奇怪。可看着他湿润的嘴唇，我突然想弄清楚，爱到底是什么感觉。我：“所以，你要和我在一起吗？”宋屿川小心翼翼问我：“可以吗？”我点头。然后平静生活被打破，我的世界多出了一个名叫宋屿川的人。多年后，当一切重新回到起点，我才明白：他不是我的变量，而是我的答案。柏言知×宋屿川回避型x主动型排雷：第一人称，感情流，插叙回忆多，攻穿越，受重生，BE。*攻受都不是正常人*尤其攻内心极度阴暗扭曲"
末日求生：我有物资抽卡箱,當午午,原创-言情-幻想未来-剧情,连载,79742,6087243,"['随身空间', '无限流', '打脸', '爽文', '基建', '囤货']",2024-12-04,【日更作者！！！文案无能，看营养液】【预收：废土后，我成了救世主】       莫名的白雾忽然降临全球，一款名为《末日生存游戏》在全人类的耳中响起冰冷的机械声音。【滴！末日求生游戏已上线】【恭喜您成为末日生存游戏玩家，请在游戏过程中努力生存30天哦！】【注意！注意！游戏内死亡即为真实死亡！】【一切解释权皆归游戏所有】身为社畜的夏岑幸运大爆发，从新手大礼包抽中万分之一概率的金手指：物资抽卡箱！【功能1：抽卡】【功能2：储藏空间（一立方）   作用：可储藏一切死物，时间静止】一边抽卡一边囤货，物资空间皆在我手！夏岑：不好意思，一不小心混成了游戏榜第一。#娄西市的沉没（水灾）、沙漠之旅（高温炙烤）、极寒冰冻、虫害肆虐、生化危机、核污染扩散……（不分前后）夏岑每场游戏都能遇到凄惨可怜的NPC小动物，被人虐待的黑猫、没有蝎子尾的沙漠蝎子、惨遭家族抛弃的小海豚……被起先她以为这只是偶然，直到她发现‘它’是人。夏岑：尊敬的审判官，下场游戏你又会变成什么可怜小动物呢？【男主背景板，成长型女主】【女主前期略菜，后期不服就干！】##下本预收：废土后，我成了救世主   在核战浩劫后的废土世界，动植物变异，大地荒芜，资源极其匮乏，幸存的人类在废墟中艰难求生。某天，自称拯救世界的系统降临废土，明枝的面前突然出现一个浮空的蓝色光屏。【你想成为救世主吗？你想成为那驱散废土黑暗的唯一曙光，让这片被核焰与死亡阴影笼罩的世界重获生机吗？】【只要你踏上这条拯救之路，荣耀将与你相伴。】【是否进入游戏】【注：机会只有一次】后来……明枝觉得自己被骗了，这不就是个每天挖宝箱的游戏吗？
谢邀，美强惨师姐只想夺权！,茶与,原创-言情-架空历史-仙侠,连载,97000,5968744,"['仙侠修真', '女强', '励志', '悬疑推理', '逆袭', '失忆']",2024-12-03,【外冷内热美强惨捉妖师大师姐 x 风流假毒舌钓系绿茶妖王】文案：1. 元历十七年，飞雪漫天，乾坤俱寂。梵音携幼妹于茫茫雪野间踽踽而行，双亲早亡，致姐妹于诸亲眷间颠沛流离，且屡屡被迫迁离。寒风肆虐，呼啸不绝，二人身影于风中摇曳。梵音紧紧握住妹妹那幼小的手掌，心疼地呵气为其取暖：“雪儿，这样可感觉暖和一些了？阿姐定会照顾好你的。往后，我们姐妹俩便是一个家。可好？”雪儿那张幼小纯真的脸上，傻傻地绽放着笑容：“好。全听阿姐的话～”想象总是美好的，可厚重的积雪却逐渐将两个小小的身躯压倒。“掌门。前方有两个小孩！”路过的马车里传来声响，梵音抬眼望去，只见一团暖黄的火光，她赶忙伸手将妹妹紧紧搂在怀里。掌门掀起马车帘，大雪弥漫，天地迷蒙，“此荒郊僻壤，若置之不顾，乃二条鲜活性命。速将其带入！”从此，命运开始眷顾她们——掌门将她与妹妹从瑶梨山带到定律司，使之成为捉妖师。幸运的是，她拜入师尊的座下，成为其唯一的亲传弟子。为了加倍回报掌门和定律司的恩德，无论是艰苦的修炼、精妙的探案手法、细致的验尸技巧、繁杂的药理知识，她无一不学！可她万万没想到，因沉迷于修炼，与妹妹逐渐聚少离多……2. 元历二十二年。梵音从北极之地修炼归来，且大有成就，回到定律司之时，却惊闻死对头不仅屠杀全族人成为新任妖王，还带走了自己的妹妹！梵音绝不相信天真可爱的妹妹会背弃自己，于是开启追查死对头的灭族案，却发现事情背后绝非表面看上去那么简单。在沈家灭族案中，留有真正凶手留下的战利品，在调查过程中还发现，不仅柳家府挖心案、善缘村拐卖案等多起案件皆存在关联。一场巨大的阴谋就此缓缓拉开序幕，过去丢失的记忆也逐渐浮出水面。死对头似乎是被冤枉的，妹妹竟是自愿甚至故意气她而跑走的！这灭族案似乎与自己消失的记忆有关，而自己消失的记忆又与爹娘的离世相关……查到最后，宿敌居然爱的人是自己？梵音表示谢邀：“…… 我只想夺权！”阅前指南：1:本文18k女强文，妹妹不会雌竞！！！她只是争宠！！！2:男女主双洁；双向救赎；3:剧情案件占60%，感情是随着案件发展改变；修真等级划分：炼气期、筑基期、金丹期、元婴期、化神期、合体期、渡劫期、大乘期；征文参赛理由： 1. 女主在与代表世族派的男主竞争首席弟子之位，没有因身份差距而退缩，努力提升自己，展现了奋发向上的精神。 2. 女主在面对反派的陷害和重重困难时，没有放弃，反而越挫越勇！ 3. 女主最终成为掌门，实现了从草根到掌门的巨大地位跃升，成功逆袭。=============分割线================最新预收：《恋爱脑重生后爆改事业批》女主原本是一心恋爱脑，只想着那个高洁清冷美男子，一心为了嫁给他，让自己的知府父亲一路提拔他。可没想到这个看似高冷清冷美男子是忘恩负义之人，转头踏上了宰相女儿的船，临走还泼了一盆子的屎盆子在他们身上。以清廉正直无私出名的知府大人，转瞬变成了与敌国私通的乱臣贼子，全族被斩首于死于腊月二十八日的寒冬。女主死前一缕冤魂飘飘荡荡，落在了宰相府中。那个往日清心寡欲谦谦公子的美男子被宰相女儿踩在脚下，全然没有一丝羞耻，红帐落下颠鸾倒凤……“好恨……怎么能不恨呢……”女主眼里流出的都是血泪，临死前阿爹还在劝慰：“乖女儿，这都是朝堂纷争……与你无关，一切都是命数……”阿娘呜咽道：“囡囡，别哭。下辈子再做阿娘的宝贝女儿……”“命数？这明明是我有眼无珠啊……阿爹阿娘！若再给我一次机会，我定不轻饶他们！”女主的怨恨和仇恨直抵幽幽上空。“人类，你好。因你虔诚的执念召唤了事业守护神-关帝麾下弟子，吾可以给你重活一世的机会。你是否愿意？”女主眼里冰冷似一潭死水，死水背后全是滔天的怨恨：“我愿意。”关帝麾下弟子 . 实则实习生：“事业系统是专门针对恋爱脑设计的，你只有当上大理寺少卿你才能成功救回你全族，若途中想要放弃复仇或者为了爱情放弃事业，都会即刻进入死亡。是否确认？”女主看了一眼闪在她眼前的两个选项，明明眼前是古怪诡谲的空间，她眼里只剩复仇，毫不犹豫选择了确认。
末日生存安全屋,胖哒鱼,原创-言情-幻想未来-剧情,连载,89316,5656325,"['末世', '无限流', '系统', '轻松']",2024-12-04,在加完班的深夜，打工人郁思宜在出租屋里被拉入了末世。好消息：她击杀丧尸获得了安全屋。坏消息：是毛坯房，没有门窗，没有墙。从此郁思宜吭哧吭哧开启了末世打工人的一天，为安全屋添砖加瓦。[击杀丧尸*1，获得干巴面包一块。][击杀丧尸*10，获得安全屋墙壁一块。][标记地点*3，获得单人床一张。]末世打工人郁思宜抗议：末世前加班，末世后还要加班，加班是要给加班费的，懂不懂？我要求工会介入！[恭喜求生者郁思宜获得每日一次“加班费”申请机会，可在礼包开启后进行申请，将有机会获得微薄的加班收入。][恭喜求生者郁思宜获得每日一次“工会谈判”机会，可在礼包开启前使用，将有机会机会开出意愿物资。]打工人郁思宜：嗯？加班给加班费，还有工会保障打工人利益？这末世，好像也没有那么糟糕嘛。[欢迎进入无限末世挑战，请立即击杀丧尸以获得安全屋绑定资格！]
防她攀,光风动绮纨,原创-言情-古色古香-爱情,连载,99532,5355346,"['宫廷侯爵', '天之骄子', '穿越时空', '女强', '成长', '高岭之花']",2024-12-06,上位者低头|禁欲者动情|后期雄竞|女主又菜又好色|女主上头快下头更快|单纯小保镖穿成娇弱孤女后爱记仇了|尊卑卫道士世子殿下总是戒心满满女主穿越后身娇体软心不软哦 女主：       世子防着她攀高枝，怎知她始终垂涎的都是殿下的美色，       可惜，世子殿下眼中只有尊卑，最烦被低位女子攀附呢，       嗯，高低有别、贵贱有别，谁让他生来就是顶高顶贵那一波的，       要他懂人人平等着实是难为他了，就算他能喜欢她，难保不是一时新鲜。男主：   此女身份低微，目无尊卑竟不知自己斤两几何，必是换了招数来引诱自己，可恨，不得不防  ——最后，他却青天白日于偏阁，哑着声音诱她，“表妹若要攀高枝，怎么不来攀我这一枝？”   叶忆葡却慢慢从齐淮手中抽回自己的袖角，双眸清清冷冷只映出世子的失态，轻启朱唇，        “我一个孤女，算世子殿下哪门子的表妹呢？”   ——不在乎门第尊卑，做妾就做妾？       刚穿越时叶忆葡还真没多想，直到亲身经历种种才明白，书上说的是真的，旧社会还真吃人，以色侍人依附他人终是一场空，做女人难，没家世的孤女更是难上加难，左右都是难，至少做个妻吧……              ——做不爱之人正妻，还是做心仪之人的妾，如果是你，你会怎么选？       叶忆葡哭丧着脸说，能不能都不选。【亲，以你的身世，其实你没得选哦】引子：礼王世子齐淮，矜高清越，生平最厌被身份低微的女子蓄意攀援。不得已送一孤女进京，唯恐她附凤攀龙，万般提防，防不住情动于中。同样的心意动，世子做便是其心可鉴，孤女做便是附势趋炎？因他是崖顶高枝，她只是墙下草芊，高下有别，不堪相偕？！直到，看她以身作局所谋他人，齐淮却急着冒顶污名、甘愿入局。可他不知，已看清这世道对女子天然不公的她，又怎会再轻易交付真心？    解说：1.没怀孕，我这么爱女主怎么会让她随意怀孕呢。2.男二上线晚3.这里是真古代没有金手指哦4.女主不会做妾，虽然很难，但她要自由。求预收：已存稿10万字新文《当女帝就能强取豪夺了》又名《高冷白月光一心助我登基，而我只想娶他为妃》《日夜肖想的清冷太傅只想帮我登基》、《美人如花隔云端》     “只要陛下开心，我们可以做些陛下喜欢的事……”     哪怕做侍君，景元也依旧是称职的，他看着文心玥的眼睛，开始一条一缕解那腰间繁复精致的绑带，伸手间极尽优雅，每一个动作都仿佛是刻意训练，却又与他的气质浑然一体，高岭之花，高洁出世，他始终，始终只会和这些词汇联系在一起，哪怕此刻正以色娱人在踏上服侍他的君上。     他真干净，是目中无尘也无有文心玥的那种干净。     他真高贵，是从出生后就未染尘埃的那种高贵。     皇帝的思绪又回到眼前，景元已褪去外衣，内着淡青色寝衣，他的动作没有丝毫迟疑，还在继续，可他的眼睛分明没有任何神采，空看着文心玥的方向，却让她觉得，绝非是在看她。||||||女主|呆萌花痴 善于伪装 后期杀伐果断 爱而不得就强取豪夺男主|禁欲高傲 善于操纵 后期清醒沉沦 爱而不得就及时行乐——她用他教会的计谋去谋算他，青出于蓝，男强女更强，于是，拉高岭之花下神坛，让阴谋家动心，看禁欲者动情    “嗯？摄政王大人瞧不上皇后之位，做朕的侍君倒是甘之如饴。”
这直男可太直了！,宝叮叮,原创-纯爱-近代现代-爱情,连载,92789,5339591,"['豪门世家', '甜文', '校园', '轻松', '日常', 'HE']",2024-12-09,      传说，每一个贵族学校都会有F4团体和那朵亭亭玉立不卑不亢贫困坚强的小白花。楚渐月在开学第一天发现自己可能就是那朵“小白花”。直男的楚渐月本打算守住自己的贞操，结果阴差阳错还是和F4搅到了一起。F1颂星飞扬跋扈骄傲肆意，却甘愿顶着大雪静静等待他来赴约，自来卷小狗在初雪那天诉说隐晦爱意。楚渐月：“大哥，你别这样，我们还是做兄弟吧！”F2玉林晚温润如玉清风晓月，却红着眼眶失态地拽着他的袖口祈求一个回眸，他机关算尽只为得到他的真心。楚渐月：“二哥，你心理好像有点毛病，我给你叫个医生吧。”F3牧览希花花公子游戏人间，却决绝拽着他要私奔出国逃避联姻，浪子回头只想同眼前人共度风雨。楚渐月：“三哥，别爱我没结果。”F4安黎开朗活泼天真幼稚，却自愿经历重重磨难承担起家族的责任，拼命成长只为那个人能够正视他一眼。楚渐月：“不是，小安，你又在这捣什么乱呢？”——楚渐月抓狂，楚渐月平淡，楚渐月内心起了小波澜。几年下来，他好像已经不直男。最后月亮的旁边一定是那颗星星在陪伴。——【美貌清纯系小白花直男圣母心攻楚渐月x恋爱脑忠犬系帅受颂星】【阅读指南】：1.主角开局未成年，故感情线慢热，前期都是其他人单箭头主角。攻是楚渐月！！他是美攻不是弱攻哦~2.一些配角会洗白。
