排名,书名,作者,类型,进度,字数,积分,标签,时间,简介
1,天官赐福,墨香铜臭,原创-纯爱-架空历史-爱情,完结,1093083,69981937664,"['灵异神怪', '情有独钟', '仙侠修真', '励志', '轻松']",2017-06-16,订阅请注意：█【1-220章】为天官赐福完整版全文+番外。看文仅购买这一部分即可，不用全文购买的！█【221-247】为连载版里删除的内容节选，供部分旧版读者参考。不购买此部分不影响看文，请酌情考虑是否购买。█新增剧情较多，无法一一标注，比较集中的部分在章节简介里有提示。【248-252】的锁章为废稿，不看不影响阅读。█因为内容调整，现在的章节内容和以前的评论是错位的。简体实体书已上市，出版解锁不易，感谢大家的包容和支持（*＾＾）/~~为你，所向披靡！C天R地小妖精攻×仙风道骨收破烂受 啊那个收破烂的天界公务员，跟鬼界第一大佬有一腿！ PS： ●主受1V1HE，攻受都为彼此神魂颠倒。 ●攻第7章出场第13章露脸。 ●首刷千万别看评论，剧透防不胜防，非常影响阅读体验。同样，也请大家忍住，一定不要在前面章节的评论里剧透，这对后来的读者不友好也不公平。 ●不要相信“先看XXX章”之类的话。不但根本看不懂，还会被严重剧透。所以也请大家千万不要对后来的读者这样开玩笑。 ●预防针：一三五卷为现在时，二四卷为过去式。十分慢热，也许不热。有历险，有日常。时而乌龟慢爬，时而野狗脱缰。 ●最重要的：喜欢便留，不喜便散，不必勉强。感谢。
2,某某,木苏里,原创-纯爱-近代现代-爱情,完结,438115,42314842112,"['花季雨季', '情有独钟', '破镜重圆', '校园', '正剧']",2019-08-07,盛望搬进了白马弄堂的祖屋院子，一并搬进来的还有他爸正在交往的女人。他爸指着那个女人的儿子对他说：叫哥。桀骜不驯吃软不吃硬的制冷机（攻）x自认很金贵的懒蛋小少爷（受）盛望：我笔直。江添：我恐同。1v1+he
3,全球高考,木苏里,原创-纯爱-近代现代-剧情,完结,589514,40028422144,"['强强', '无限流', '相爱相杀', '未来架空', '轻松']",2018-10-10,全球大型高危险性统一考试，简称全球高考。真身刷题，及格活命。考制一月一改革，偶尔随机。梗概：两位大佬对着骚。1v1，HE，通篇鬼扯。
4,欢迎进入梦魇直播间,桑沃,原创-纯爱-近代现代-悬疑,连载,3679513,39958536192,"['强强', '无限流', '爽文', '升级流', '正剧']",2021-11-07,【最后一个副本进行中】温简言最擅长见人说人话，见鬼说鬼话。某日，他突然被迫成为了梦魇直播间中的一位新手主播，真的会死那种。温简言：“……”我rnm某新人成为最受瞩目主播，原因竟然是太会坑人，而且还是坑人坑鬼无所不坑。这家伙迟早翻车！幸灾乐祸看热闹的观众越来越多，可怎么等也等不到那一天。不过……为什么这个直播间的任务越来越奇怪了呢？【高级主播支线任务：亲吻恶灵三十秒】【奖励：未知】【顶级主播主线任务：脱衣诱惑邪神三分钟】【奖励：未知】观众：哦豁，主播这是掌握了新的财富密码吗？快点快点，有什么是我们付费观众不能看的！顶级BOSS步步逼近，低声诱惑：“怎么样？炒cp吗？假戏真做那种。”温简言：“……”？？？对不起，我很有原则的，骗人不骗心的谢谢。——你不要过来啊！wb@桑沃君不想码字阅前小tip：1.直播间观众不是主播！不是主播！不是主播！2.本文直播间内均严禁剧透，观众无法向主播透露副本内容或其他主播动向，主播之间禁止剧透，无法交流3.全文背景架空4.连载期长，可能经常看心情改换封面，建议不要因此吵架，因为每一个大概率都不会待太久（？ps：wb会放出所有过往封面5.不保证日更，以灵感为基准调整更新频率6.段评已开，请勿在段评内剧透后续发展！！发现会删除！！————预收：《人类最强被肃清后》文案：物种异变，末日降临，紧急应对小组成立。谢罔，紧急应对小组组长，人类坚实的最后壁垒，正直冰冷的雪亮刀锋。人们敬仰他的强大，也见识过他的恐怖。他既能拔刀护住身后的最后一个人，也能无情地下令处理掉一城的疑似感染者，只为将祸患的种子在源头掐灭。正因如此，在一切结束之后，他也成为了第一个被肃清的对象。待死亡的阴影散去，谢罔却发现，自己回到了末日发生之前，耳边还多出一个奇怪的声音。“瞧瞧，这就是当个好人的下场。”系统笑嘻嘻地说。“什么人类破晓之光，末日最强之剑，一旦没用了，不还是把你弃如敝履？”甜蜜的声音向他的耳朵里灌注着仇恨的毒药：“怎么样，想不想复仇？杀光那些把你当做工具的人类，让他们为所作所为付出代价，只要——”谢罔面无表情地听着耳边的絮语，拎刀走出房间，打车直奔200公里外的A市，给出的地址具体到了市区街道和小区名字。系统错愕：“啊？你去哪？”“等等等等，方向不对——”谢罔：“异种之王的老巢。”他终结过一次末日，自然也能终结第二次。系统：“……”干。我他妈能不知道你去的是哪吗！那就是我家！【混乱邪恶x极端正义】++++【假系统真反派异种之王攻x人类之光最强战力受】——他是永不弯折的刀锋，尖锐笔直，从不惘然。
5,我行让我来[电竞],酱子贝,原创-纯爱-近代现代-爱情,完结,539391,36252696576,"['体育竞技', '游戏网游', '甜文', '直播', '轻松', '电竞']",2020-06-28,LOL某场比赛，某知名气人主播正在解说并转播。主播：这辅助，真下饭。主播：打野如果是我队友，我现在已经挂在泉水为他弹钢琴了。主播：我建议这位选手回去好好练练他的补兵。观众：口嗨个p！你行你上啊！主播：你爹我还真行。观众：嗯嗯嗯:)你行我头砍下来给你踢。几个月后，LPL老牌战队TTC公布新中单选手，染着张扬蓝发的男生出现在观众的视野里，一手劫玩得出神入化，谁见谁死，女粉们纷纷在爬墙的边缘试探。MVP赛后采访，所有人屏住呼吸，一脸期待地看着这位新鲜血液。只见男生接过麦，笑着问：“星空tv用户ID叫‘郊区王者101’的那位水友，官网有我战队地址，你头什么时候寄过来？”·某场常规赛结束，工作人员去后台催战队成员上场接受采访，却在角落看见了TTC的新中单和打野。TTC第一王牌·打野爸爸Road正把他们队伍的新中单Soft怼在墙上，垂眼缓声问：“一会采访，知道该怎么做？”那位第一次上场就把自己的喷子形象钉死在观众心目中的暴躁中单，此刻整张脸红透：“知道。我不骂人……一定不骂人。”——路柏沅(攻)x简茸(受)没原型，没原型，没原型大约有两三章的女装情节。*原名/出版名《我行让我上》^^请求大家不要在本文相关以外的任何地方提及这篇文。拒绝拉踩，拒绝ky，拒绝空口鉴，从soft亲爹们做起。大家看文就好。感谢
6,判官,木苏里,原创-纯爱-近代现代-奇幻,完结,539210,34553692160,"['强强', '灵异神怪', '轻松']",2020-04-27,花里胡哨的“菜鸡”x住着豪宅的穷比判官这一脉曾经有过一位祖师爷，声名显赫现在却无人敢提，提就是他不得好死。只有闻时还算守规矩，每日拜着祖师青面獠牙、花红柳绿的画像，结果拜来了一位病歪歪的房客。房客站在画像前问：这谁画的？闻时：我。……别问，问就是感动。封面感谢@风漱
7,死亡万花筒,西子绪,原创-纯爱-近代现代-爱情,完结,857083,34062487552,"['灵异神怪', '乔装改扮', '无限流', '升级流', '正剧']",2018-01-12,起初的异样，是家里的猫不让抱了。林秋石发现周围的一切都开始变得充满了不协调感。然后某一天，当他推开家中的门，却发现熟悉的楼道变成了长长的走廊。走廊的两头，是十二扇一模一样的铁门。故事由此开始。阮南烛对林秋石说，当你凝视深渊时，深渊也在凝视着你。林秋石听后陷入沉思，然后对着深渊拉下了裤子拉链……阮南烛：“……你把裤子给我好好穿上！”不皮会死病娇攻X一起皮的沉稳受，双皮奶组合，灵异风格升级流。周四入v，希望大家继续支持谢谢=3=
8,破云,淮上,原创-纯爱-近代现代-悬疑,完结,817354,33642414080,"['强强', '制服情缘', '业界精英', '悬疑推理', '正剧', 'HE']",2017-12-15, 城市天空，诡云奔涌三年前恭州市的缉毒行动中，因总指挥江停判断失误，现场发生连环爆炸，禁毒支队伤亡惨重。三年后，本应早已因过殉职并尸骨无存的江停，竟奇迹般从植物人状态下醒来了。英魂不得安息，他必须从地狱重返人间，倾其所有来还原血腥离奇的真相。在本文人设中，严峫表面痞段子手但心细如丝且非常正气，江停智商很高身体素质很差，说话反复斟酌性格克制谨慎，表面温文儒雅但行事作风带邪性。两个主角人设清晰自洽，没有任何原型，不可作为任何代餐。现代都市刑侦，英俊潇洒十项全能进可百米狙人头退可徒手拆炸|弹没事就爱装个逼的攻&因为反正随时准备完蛋所以不管发生什么事都很淡定的受正常每周更六休一，HE
9,破云2吞海,淮上,原创-纯爱-近代现代-悬疑,完结,855167,32826472448,"['强强', '天作之合', '制服情缘', '悬疑推理', '正剧', 'HE']",2019-05-10, 那些窥探的触角隐藏在互联网浪潮中，无处不在，生生不息，正逐渐将现代社会的每个角落淹没至顶。“深渊中隐藏着庞大、复杂、根深蒂固的犯罪网，‘马里亚纳海沟’远比警方所知的更加深邃，却又近在你我身后——”津海市公安局新来的吴雩温和懦弱、寡言少语，对来自严厉上司的刁难毫不在意，只想做个按时领工资混饭吃的背景板。没人知道这个年轻人有一颗被毒枭重金悬赏的项上头颅，和曾经深渊屠龙的少年肝胆。本文人设灵感见原文第125章作者有话说部分。步重华与吴雩都有被人生境遇逼迫压抑到极致后的扭曲爆发特性，人设非常清晰完整，主角塑造没有任何原型，不可作为任何代餐。现代都市刑侦，作风冷淡严厉强势注重健康热爱养生学院派精英攻&得过且过不想干活平生最烦学院派最讨厌被领导的受每周正常更六休一，HE
10,撒野,巫哲,原创-纯爱-近代现代-爱情,完结,899776,29431207936,"['强强', '轻松']",2016-10-30,校园文。HE。更新时间周一二三五六晚7点40。写不出文案的作者跪在这里。封面字体感谢@零雨其蒙蒙！小线人感谢@二喜砸果叽！
